遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
在梦中飞起来是一个很平常的事。有的时候会飞得很高、从一座山跳到另一座。肚子感觉很莿激。但都不会受伤。这一种感觉让我觉得很自由自在。没有压力而且又轻松。	在梦中飞起来是一个很平常的事。有的时候会飞得很高、从一座山跳到另一座。肚子感觉很刺激。但都不会受伤。这一种感觉让我觉得很自由自在。没有压力而且又轻松。
有时候当在飞行中会有人跟在我的后面追我。我没有别的办法就是一定要跳跑。所以越跳越高，因为想要桃跑他们！被追的时候感觉非常紧章。	有时候当在飞行中会有人跟在我的后面追我。我没有别的办法就是一定要跳跑。所以越跳越高，因为想要逃跑他们！被追的时候感觉非常紧张。
有的时候如果跳太慢或是跳得不够高就会被那些坏人抓走。他们的速度很快马上就跟上来了。那个时候我就会醒来。可能是在梦中被吓了一跳。	有的时候如果跳太慢或是跳得不够高就会被那些坏人抓走。他们的速度很快马上就跟上来了。那个时候我就会醒来。可能是在梦中被吓了一跳。
在我的梦里我的男朋友脚踏两条船。我刚一回国，他就交新的女朋友。在我的梦里我看他们一起做甚么：他们去公园谈恋爱，后来一起回家。我非常生气，于是我马上坐飞机去台湾。来到台北亲自找我的男朋友。在路上我居然碰到他们手拉者逛街。	在我的梦里我的男朋友脚踏两条船。我刚一回国，他就交新的女朋友。在我的梦里我看他们一起做甚么：他们去公园谈恋爱，后来一起回家。我非常生气，于是我马上坐飞机去台湾。来到台北亲自找我的男朋友。在路上我居然碰到他们手拉著逛街。
我跟一个不那么好认识的朋友在森林里一起去散步。他在提出来他刚看完书的内容，原因我也不知道。没走很远，他就忽然停下来。我问他有什么不好，但是他没回答。他的反应又很奇怪。我就等他说话，可是他继续看术。我开始害怕。	我跟一个不那么好认识的朋友在森林里一起去散步。他在提出来他刚看完书的内容，原因我也不知道。没走很远，他就忽然停下来。我问他有什么不好，但是他没回答。他的反应又很奇怪。我就等他说话，可是他继续看书。我开始害怕。
我们常常睡觉里做梦，可是比较强烈的梦也醒过来以后就忘掉了。我觉得快乐、恐怕、生气的梦就忘掉，不过奇怪的梦比较记得。	我们常常睡觉里做梦，可是比较强烈的梦也醒过来以后就忘掉了。我觉得快乐、恐怕、生气的梦就忘掉，不过奇怪的梦比较记得。
我已经很期待我们的新年晚会！我门下个礼拜已经谈谈了我们要表演的是什么。所以我跟您要说以下我门对这次新年晚会的想法。	我已经很期待我们的新年晚会！我们下个礼拜已经谈谈了我们要表演的是什么。所以我跟您要说以下我们对这次新年晚会的想法。
我们为了这次的晚会要准备一场戏剧。剧情是虽然我们最初来台湾的时候因为不知道国语和文化辛苦，可是慢慢地适应台湾的生活以后，发现了台湾的魅力。	我们为了这次的晚会要准备一场戏剧。剧情是虽然我们最初来台湾的时候因为不知道国语和文化辛苦，可是慢慢地适应台湾的生活以后，发现了台湾的魅力。
像您看，我们觉得这场戏剧会让大家了解留学生对台湾得想法。而且我们希望鼓励更多的留学生。	像您看，我们觉得这场戏剧会让大家了解留学生对台湾的想法。而且我们希望鼓励更多的留学生。
如果您有时间的话，请您帮我们改以下剧本。因为剧本是我们自己写的，所以可能有几个文法的问题。如果您可以的话，我马上给您上传我们得剧本。谢谢您！	如果您有时间的话，请您帮我们改一下剧本。因为剧本是我们自己写的，所以可能有几个文法的问题。如果您可以的话，我马上给您上传我们的剧本。谢谢您！
为了做舞台装饰，我们需要的机器是像灯光，麦克风什么的。	为了做舞台装饰，我们需要的机器是像灯光，麦克风什么的。
我觉得成功大学的球场是最好的地方。在那里，地方很大所以很多人可以参加看我们的表演。	我觉得成功大学的球场是最好的地方。在那里，地方很大所以很多人可以参加看我们的表演。
成功大学的台湾学生一前已经希望了这一种表演。第一个，我要找谁要帮我准备那个地方跟找谁要找钱。最重要的事是找钱因为这个表演要很多钱，所以我希望朋友们可以帮我照前从公司、学校、或是从认识的人。	成功大学的台湾学生以前已经希望了这一种表演。第一个，我要找谁要帮我准备那个地方跟找谁要找钱。最重要的事是找钱因为这个表演要很多钱，所以我希望朋友们可以帮我找钱从公司、学校、或是从认识的人。
每一队应该表十五分钟，然后第一名的队要收到礼物。我希望国与中心可以帮我找三个老师给表演的人分。	每一队应该表十五分钟，然后第一名的队要收到礼物。我希望国语中心可以帮我找三个老师给表演的人分。
如果老师跟同学们有时间，每天下课以后可以一起到大学旁边的公园去练习半个小时。需要的话周末也可以见面。	如果老师跟同学们有时间，每天下课以后可以一起到大学旁边的公园去练习半个小时。需要的话周末也可以见面。
而且我也想向国语中心请教有没有可以给我们的教室，给我们下雨的时候机会干干地练习唱歌。	而且我也想向国语中心请教有没有可以给我们的教室，给我们下雨的时候机会干干地练习唱歌。
我们都希望这次新年晚会过得很顺畅也比去年的更精彩！	我们都希望这次新年晚会过得很顺畅也比去年的更精彩！
我觉得我们应该马上开始练习，每个礼拜练习两、三次。我们可以下课以后在教室里面练习，可是会很吵的话，应该要找另外的地方。	我觉得我们应该马上开始练习，每个礼拜练习两、三次。我们可以下课以后在教室里面练习，可是会很吵的话，应该要找另外的地方。
谢谢老师昨天跟我们班的同学们一起喝茶。我们都过的很快乐的时间了！那时候老师跟我们说：「这个学期的新年晚会时，每一个班都要表演，你们要表演什么？」。	谢谢老师昨天跟我们班的同学们一起喝茶。我们都过得很快乐的时间了！那时候老师跟我们说：「这个学期的新年晚会时，每一个班都要表演，你们要表演什么？」。
表演节目：巴里岛民族舞蹈。	表演节目：峇里岛民族舞蹈。
理由：三个印尼同学们都会跳峇里岛的民族舞蹈，她们说要教我们，我们都觉得这个节目又精采又吸引观众！	理由：三个印尼同学们都会跳峇里岛的民族舞蹈，她们说要教我们，我们都觉得这个节目又精采又吸引观众！
练习席间、地点：每个礼拜１、３、５，下课后（大概１小时）。在３０１教室。	练习时间、地点：每个礼拜１、３、５，下课后（大概１小时）。在３０１教室。
老师，我们班的同学们大概学好了以后，请看一下给我们建议。表演时，我们要请国语中心帮我们放音乐、当光。	老师，我们班的同学们大概学好了以后，请看一下给我们建议。表演时，我们要请国语中心帮我们放音乐、灯光。
